R1,R2,R3,R4,R5,R6,R7,R8,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S2,S3,S4,S5,S6,S7,S8,E1,E2,E3,E4,E5,E6,E7,E8,C1,C2,C3,C4,C5,C6,C7,C8,introelapse,testelapse,surveyelapse,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,uniqueNetworkLocation,country,source,major,,,,,,,,
1,4,1,3,3,2,5,0,3,3,2,2,2,2,2,2,1,1,3,2,1,3,2,4,3,4,5,5,5,5,5,5,2,4,5,5,3,5,5,5,3,2,3,4,3,3,5,3,6,191,279,7,1,6,6,7,5,6,3,5,3,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,2,1,17,1,4,3,4,2,1,3,1,IE,2,,,,,,,,,
1,1,1,1,1,1,1,1,1,2,2,1,1,5,1,1,2,1,1,3,3,3,3,1,4,5,3,4,5,5,5,5,2,2,2,3,1,4,4,5,1,1,1,2,1,1,1,1,4,217,242,6,1,6,4,7,7,7,1,7,3,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,2,1,17,1,4,3,4,2,1,2,1,IE,0,,,,,,,,,
1,1,1,1,1,1,1,1,3,3,1,3,3,1,1,1,1,1,3,1,1,1,1,1,1,1,5,1,3,3,1,3,1,3,3,3,1,3,3,1,1,1,1,1,1,1,1,1,7,269,232,6,5,5,5,6,2,6,6,5,5,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,2,1,18,1,4,1,4,2,1,5,1,IE,2,,,,,,,,,
2,1,1,1,1,2,2,1,4,2,2,2,2,3,2,3,5,2,4,3,3,4,3,2,5,4,5,3,5,3,5,4,3,1,4,2,2,3,2,2,2,1,2,2,1,3,2,3,1031,321,490,6,2,6,2,5,3,3,3,6,5,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,3,2,2,24,1,6,1,1,2,1,3,2,MY,0,Translation,,,,,,,,
2,2,3,1,2,2,4,2,2,4,2,3,2,3,2,2,5,2,2,3,2,4,1,2,4,3,4,4,4,3,4,2,4,3,4,4,4,4,3,3,4,2,2,4,4,4,3,2,49,587,442,2,2,5,6,4,5,5,4,5,4,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,2,3,2,2,18,1,2,1,4,1,1,3,1,PL,0,,,,,,,,,
3,3,3,3,1,3,3,3,5,1,3,3,1,3,3,5,3,1,5,5,5,5,5,3,5,3,5,3,5,5,5,5,3,5,5,1,5,1,1,3,5,5,1,5,3,5,1,5,11,476,238,4,4,7,1,7,6,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,29,1,8,2,1,1,2,3,1,IN,0,NA,,,,,,,,
4,1,1,3,1,1,1,1,4,1,2,4,1,3,1,2,3,4,5,5,5,4,1,4,5,3,3,2,5,3,3,3,2,4,2,4,3,4,2,3,1,3,1,3,1,3,1,2,25,152,99,5,5,7,1,7,3,7,1,7,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,3,3,2,1,22,1,12,5,5,2,1,1,1,US,2,Gender,Studies,,,,,,,
2,1,1,1,1,1,1,1,3,4,4,1,3,4,3,1,1,5,4,2,5,2,4,4,1,4,1,1,2,2,1,4,1,1,1,1,2,4,2,2,1,1,1,1,1,5,1,1,3,171,380,6,6,6,6,5,5,4,2,1,2,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,2,2,2,14,1,4,1,1,2,1,4,1,ID,0,Public,Relations,,,,,,,
2,1,1,2,1,3,3,1,4,4,4,4,3,4,4,2,2,2,1,3,2,4,4,2,3,4,3,3,3,4,4,4,2,2,2,2,3,2,1,2,2,1,2,2,4,3,2,2,4,467,314,5,4,6,4,6,3,7,3,6,4,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,2,17,1,10,1,1,2,1,4,1,MY,1,Chemistry,,,,,,,,
1,1,1,2,1,1,1,1,1,5,5,1,3,3,3,5,1,3,4,3,5,3,5,3,2,5,1,4,1,3,5,4,1,3,3,1,5,3,1,4,3,3,5,5,5,5,5,5,8,460,307,5,4,7,2,7,6,7,1,7,2,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,3,2,1,1,24,1,7,1,4,1,1,2,1,AU,0,Journalism,,,,,,,,
5,3,3,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,5,4,4,4,5,4,4,5,4,3,3,5,3,3,4,4,5,4,4,5,4,5,5,5,5,5,5,5,111,278,323,1,4,1,4,5,4,5,6,5,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,4,3,1,1,21,1,10,3,1,1,1,5,1,PK,1,finance,,,,,,,,
5,4,2,4,4,5,4,3,3,3,4,4,5,3,4,4,4,4,4,4,5,4,1,3,4,1,2,2,3,2,5,2,3,5,4,1,5,3,1,4,3,5,4,4,5,3,1,5,52,213,386,1,6,4,2,7,5,5,6,6,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,3,1,2,20,1,10,1,1,1,1,2,1,ID,2,Psychology,,,,,,,,
3,1,1,1,3,3,3,3,3,3,3,1,5,3,5,1,1,3,5,5,5,3,3,3,1,5,3,3,1,3,3,3,3,1,3,5,3,3,3,1,1,3,3,5,3,3,3,1,4,217,241,6,4,7,5,7,7,5,2,4,5,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,2,3,2,2,19,1,10,5,5,2,1,9,2,MY,0,english,,,,,,,,
1,1,1,1,1,1,3,3,3,1,1,2,1,1,1,1,4,4,4,4,4,4,1,2,4,3,2,2,2,1,3,2,4,4,4,4,4,4,4,2,3,4,2,3,1,1,3,2,6,237,392,7,5,4,5,6,1,4,5,4,3,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,2,2,15,1,10,0,1,2,1,4,1,MY,0,Actuarial,Science,,,,,,,
1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,5,5,1,5,1,1,5,5,1,5,1,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,3,5,5,10,108,108,6,4,7,7,6,5,7,1,3,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,3,2,1,19,1,6,1,4,2,1,3,1,GB,2,tourism,,,,,,,,
3,1,1,1,1,2,1,1,5,5,4,4,3,5,4,4,4,2,3,5,4,5,4,3,4,4,2,4,3,3,4,2,2,2,4,2,5,3,2,3,1,2,2,2,4,2,2,2,88,176,126,2,5,6,5,5,7,6,1,5,7,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,4,2,2,2,23,1,4,1,4,1,1,3,1,GB,0,Management,,,,,,,,
1,1,1,4,1,1,1,1,1,4,5,2,4,4,4,1,4,5,5,5,5,5,5,5,2,3,1,1,1,2,2,3,4,3,1,1,1,2,1,4,1,2,1,1,1,1,1,1,1,114,100,5,6,1,6,5,7,5,2,3,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,3,2,1,16,3,1,2,5,2,1,3,1,NONE,2,,,,,,,,,
2,2,2,3,3,4,2,4,1,2,2,4,2,3,2,3,3,4,3,5,5,5,4,3,5,4,3,4,4,3,4,2,2,2,4,2,5,3,4,4,1,2,3,3,3,3,3,2,12,242,4632,1,6,7,1,6,6,6,1,6,2,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,4,1,1,1,39,1,12,1,4,1,3,3,1,US,0,history,,,,,,,,
1,1,1,1,1,2,1,3,3,5,5,3,4,5,4,5,3,4,2,4,4,5,1,1,4,3,2,3,3,3,3,2,1,1,1,1,2,2,2,1,1,1,3,1,5,4,2,1,3,174,162,3,3,6,1,7,5,7,1,7,2,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,3,2,1,2,20,1,2,1,1,1,1,2,1,IN,2,geology,,,,,,,,
2,3,2,4,1,3,2,4,1,3,5,2,3,4,3,3,1,1,5,2,1,2,2,1,4,4,1,2,2,1,2,3,3,3,3,3,3,1,3,3,1,3,4,1,3,1,2,1,3,338,168,2,4,6,4,1,7,4,2,6,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,2,1,1,15,1,7,1,4,2,1,2,2,US,0,,,,,,,,,
2,3,1,2,2,3,2,3,4,4,3,5,4,3,3,3,3,4,4,5,5,4,3,4,4,4,4,5,5,3,3,3,3,3,3,4,4,3,4,4,1,1,2,2,3,2,2,1,34,164,137,6,2,6,1,7,5,7,2,7,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,4,1,2,1,28,1,4,1,4,1,2,2,2,US,2,psychology,,,,,,,,
1,1,1,1,1,1,2,1,2,2,2,1,1,4,1,1,1,2,3,1,3,1,1,3,1,3,2,1,4,2,2,1,1,4,2,4,3,3,1,2,3,3,2,2,1,2,2,2,1,181,208,5,2,6,6,3,3,7,2,2,3,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,2,2,1,16,2,2,1,4,2,1,3,2,US,0,,,,,,,,,
2,1,1,1,1,1,1,1,4,1,1,5,4,1,3,1,1,1,1,1,1,1,1,1,5,3,5,1,5,3,5,3,5,1,3,1,5,1,4,1,3,1,1,1,1,1,3,2,3,177,687,6,6,7,5,7,5,7,3,7,6,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,3,2,1,14,1,7,1,1,2,1,1,1,JM,2,,,,,,,,,
5,3,4,4,3,2,4,3,1,4,4,2,2,2,3,3,1,2,3,2,2,4,3,2,5,4,5,2,4,4,4,5,2,4,2,1,3,2,3,3,3,3,2,3,2,4,2,2,56,1015,253,6,5,7,3,6,4,5,1,6,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,17,1,0,0,4,2,1,2,1,US,0,Diesel,Mechanic,,,,,,,
3,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,3,3,4,3,4,4,3,4,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,78,233,152,4,5,5,5,7,4,6,7,4,3,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,3,2,2,1,23,1,9,2,4,1,1,3,2,US,1,Psychology,,,,,,,,
2,1,2,2,1,1,2,1,3,1,1,3,2,1,2,1,1,2,1,2,4,1,2,1,2,2,2,1,2,1,2,2,1,1,2,1,3,1,2,2,3,1,2,2,1,2,2,2,27,298,126,6,5,5,3,6,2,5,4,5,3,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,3,1,2,13,1,7,1,3,2,1,4,1,NG,0,,,,,,,,,
1,1,1,1,1,1,1,1,4,4,4,5,3,3,1,1,1,1,3,3,4,1,1,1,4,3,4,4,5,1,4,1,1,1,1,3,3,1,3,1,1,1,1,1,3,1,1,2,7,103,121,6,6,6,7,4,2,6,1,5,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,1,17,1,2,1,4,2,1,1,1,US,0,,,,,,,,,
1,1,1,2,2,1,1,1,2,3,3,2,2,2,2,1,2,4,5,4,4,3,5,5,3,4,3,4,4,4,4,4,2,3,4,4,4,4,3,3,1,3,3,2,1,1,2,2,25,148,148,6,5,4,5,6,3,6,5,5,3,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,2,15,1,4,1,5,2,1,1,2,MX,1,,,,,,,,,
1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,5,3,4,1,3,5,5,5,5,5,4,5,5,1,5,1,1,1,1,1,3,5,1,1,5,4,4,5,4,5,315,232,7,1,7,1,3,1,7,1,7,5,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,2,1,50,1,6,1,4,2,3,3,2,US,0,,,,,,,,,
3,1,1,1,1,3,1,3,5,4,4,4,4,5,4,4,4,4,5,1,5,2,5,5,4,2,2,1,4,1,4,2,1,1,1,4,3,1,1,3,1,1,1,1,3,1,1,1,19,153,127,6,5,6,1,7,1,6,6,6,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,3,1,1,1,37,1,1,1,4,1,1,2,2,NONE,0,business,,,,,,,,
3,2,3,3,3,1,1,1,4,4,4,4,4,1,3,1,1,3,3,4,3,4,3,1,2,4,5,5,5,4,4,4,3,4,3,3,3,3,2,2,1,3,3,3,4,2,2,2,13,371,174,6,5,7,7,7,6,6,6,2,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,2,2,1,18,1,7,1,4,2,1,2,1,US,0,,,,,,,,,
4,2,2,2,4,3,3,3,4,4,1,1,2,4,2,4,2,1,3,4,4,4,2,4,4,4,3,2,4,1,3,2,4,3,0,4,2,4,2,4,2,3,2,2,2,2,3,4,3,259,164,5,6,6,5,5,6,5,2,6,2,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,3,3,2,2,20,1,7,1,1,2,1,3,1,HK,1,communication,,,,,,,,
3,1,3,3,2,3,2,2,5,1,2,4,2,1,2,1,5,5,4,1,3,5,1,5,3,5,3,3,3,4,2,3,1,2,5,3,5,3,2,1,1,2,2,3,4,4,2,2,22,443,184,7,7,7,5,7,1,6,2,6,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,2,17,1,0,0,0,2,1,4,1,MY,0,law,,,,,,,,
3,1,1,1,1,1,1,1,5,5,5,5,5,5,5,4,3,3,3,3,4,4,1,1,5,5,5,3,5,5,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,275,290,230,7,1,7,1,7,2,7,1,7,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,3,3,1,1,57,1,2,1,4,2,3,1,1,US,0,social,psychology,,,,,,,
3,1,1,4,1,1,4,1,5,1,1,1,1,1,1,1,2,1,1,4,1,3,1,1,1,5,1,5,1,1,1,1,1,2,1,4,1,3,1,1,1,1,1,1,1,1,1,1,43,196,194,1,4,7,2,4,6,7,2,5,3,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,1,2,17,1,2,1,4,2,1,2,1,BA,0,,,,,,,,,
1,1,1,1,1,1,1,1,4,5,5,1,4,5,3,3,5,5,3,5,5,5,4,5,4,5,5,5,5,5,5,4,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,113,149,138,6,1,6,4,7,5,7,1,7,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,3,2,2,1,37,1,1,2,4,1,3,2,1,US,0,sociology,,,,,,,,
1,1,1,1,1,0,0,1,4,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,4,5,0,4,5,1,4,0,1,4,1,4,2,1,3,2,1,3,1,2,1,1,1,1,2,226,180,5,1,7,5,5,5,7,5,7,4,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,2,1,2,1,47,1,7,1,4,2,3,1,1,US,2,,,,,,,,,
4,2,1,2,2,1,1,2,4,5,4,2,3,3,1,2,1,1,2,1,2,2,1,3,2,5,5,4,5,2,5,1,4,4,4,4,4,3,5,3,5,0,3,3,3,4,3,4,3,224,132,6,6,4,6,6,3,6,2,2,5,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,4,1,2,1,23,1,1,1,4,2,1,2,1,GB,0,International,Relations,,,,,,,
1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,3,3,3,1,1,1,4,1,1,4,1,4,1,4,5,4,1,4,3,3,3,3,4,4,3,29,1026,6,7,2,5,1,7,1,4,2,7,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,2,3,2,2,18,1,12,1,5,2,1,2,1,US,0,International,Marketing,,,,,,,
4,4,3,3,3,4,3,4,4,4,4,3,3,5,3,2,2,2,3,2,2,3,3,4,2,2,2,3,2,3,4,4,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2951,432,5,2,3,5,6,4,6,5,5,4,4,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,2,1,2,1,18,1,6,1,4,2,1,4,1,US,1,,,,,,,,,
3,1,1,1,1,1,1,1,4,3,3,2,1,3,2,1,1,3,2,2,3,3,1,2,3,5,2,2,4,3,3,3,4,2,3,3,1,1,1,1,1,3,3,1,2,1,1,4,103,261,1028,6,2,4,3,6,4,7,4,4,2,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,2,1,2,2,17,1,10,5,1,2,1,3,1,MY,0,,,,,,,,,
5,3,3,2,3,3,3,3,3,4,4,3,3,4,3,3,3,3,4,3,2,5,4,4,3,4,3,3,3,3,3,3,2,2,2,2,2,3,3,3,1,3,1,2,1,3,3,2,4,125,266,4,2,5,2,6,5,4,4,6,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,2,1,1,33,1,2,1,4,1,3,2,1,US,2,aviation,,,,,,,,
1,1,1,1,1,4,1,3,2,4,4,1,1,2,1,1,4,5,5,4,4,5,4,5,5,3,5,2,4,5,5,5,1,1,4,2,5,1,1,4,1,1,1,1,1,4,1,1,30,136,113,5,1,6,6,5,2,7,2,5,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,3,2,1,24,1,4,2,4,2,1,2,1,US,1,psychology,,,,,,,,
1,1,1,3,3,1,1,1,4,4,5,5,5,4,4,4,3,2,1,2,1,4,2,1,4,2,1,2,1,1,2,1,1,1,2,1,4,1,2,1,1,2,3,1,4,5,1,1,2,186,95,1,2,4,2,6,7,1,2,6,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,1,1,2,24,1,1,1,4,1,1,6,1,DE,2,Science,,,,,,,,
1,1,1,1,1,1,1,1,5,4,4,5,4,4,2,4,3,2,1,5,2,2,1,1,5,5,5,1,5,4,5,4,1,1,4,3,4,3,1,2,1,1,1,1,1,2,1,1,33,206,261,6,1,6,4,7,2,7,1,4,2,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,3,3,1,1,64,1,6,2,4,2,3,4,1,US,2,liberal,studies,,,,,,,
2,2,2,3,2,1,3,2,3,4,4,4,4,3,4,4,4,4,2,4,4,5,3,4,3,4,2,1,1,3,2,1,2,2,2,1,2,3,2,5,3,3,3,2,3,4,2,4,22,410,113,5,5,6,3,6,7,6,2,6,2,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,3,2,1,15,1,2,2,4,2,1,3,1,US,1,,,,,,,,,
4,5,1,5,1,1,1,1,5,5,1,5,1,1,5,1,5,5,5,1,5,1,1,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,1,5,5,1,5,1,1,1,41,154,166,5,4,7,7,5,7,7,1,3,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,3,2,2,14,1,10,5,1,2,1,7,2,US,0,engineering,,,,,,,,
2,4,1,3,2,3,2,3,4,5,5,5,4,5,4,5,4,4,3,5,4,5,4,3,3,3,3,4,4,3,4,4,1,2,2,3,2,2,3,4,1,1,1,1,3,2,2,2,182,452,341,1,1,5,2,6,5,4,1,7,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,1,1,1,21,1,7,1,4,2,1,1,1,US,1,,,,,,,,,
3,4,4,5,3,4,4,1,5,4,4,5,4,4,4,1,1,2,2,1,1,2,3,3,2,3,2,3,2,5,2,1,2,2,3,2,3,2,1,1,4,2,2,2,3,2,2,2,40,277,249,4,1,5,1,7,5,5,4,5,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,1,1,18,1,7,1,3,2,1,1,1,US,0,Civil,engineering,,,,,,,
4,0,4,1,5,2,4,2,2,2,2,2,2,4,2,4,4,5,5,5,5,3,5,5,4,5,4,5,4,4,4,5,4,3,3,4,3,4,5,5,1,1,1,3,2,2,2,2,121,1965,372,6,4,2,5,7,6,7,7,1,2,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,2,3,2,2,18,1,4,1,1,2,1,2,1,PH,1,Entrepreneurship,,,,,,,,
4,4,4,5,3,4,2,4,3,4,4,4,4,3,4,3,1,2,2,1,2,2,2,2,1,3,2,2,2,4,2,1,3,2,3,2,4,2,4,2,2,3,4,3,4,5,4,3,78,493,438,2,6,3,1,3,7,5,2,7,5,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,2,1,1,1,18,1,6,1,4,2,1,7,2,US,0,,,,,,,,,
5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,3,2,3,2,5,4,5,3,3,4,5,4,5,5,5,5,3,3,3,5,5,3,5,5,3,4,3,5,5,3,104,573,1244,7,7,7,5,7,7,3,7,7,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,13,2,4,5,5,1,1,3,2,US,0,yes,i,did,,,,,,
0,1,1,1,1,1,1,1,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,5,1,1,1,0,1,1,1,1,1,1,1,1,5,2,1,5,6,239,253,6,1,2,3,7,7,7,3,7,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,2,1,2,2,14,1,5,1,4,2,1,2,1,AL,1,psychology,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,55,125,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,1,2147483647,3,4,5,1,1,3,2147483647,2,US,0,21,,,,,,,,
1,1,1,1,1,1,1,1,5,5,5,5,5,5,1,5,1,1,5,5,5,5,1,5,2,5,1,5,1,5,5,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,22,179,354,4,3,4,2,5,5,7,3,3,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,4,2,2,1,52,1,12,1,4,2,2,3,1,US,1,English,,,,,,,,
3,5,5,3,5,5,3,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,5,4,5,4,1,1,5,2,2,4,3,1,1,1,2,4,3,3,3,1,3,1,1,29,156,164,2,1,7,7,6,7,7,3,3,2,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,2,1,2,1,20,3,7,1,4,2,1,2,1,US,0,Physical,Therapy,,,,,,,
1,1,2,2,1,5,1,1,5,5,5,4,2,5,1,4,4,5,5,5,4,4,5,5,5,4,5,2,5,2,5,2,1,2,5,4,1,1,4,1,3,1,4,1,4,4,5,1,499,308,160,2,5,2,5,6,3,6,5,4,5,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,2,27,2,4,1,5,2,1,1,2,CA,0,,,,,,,,,
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,29,88,101,7,1,7,1,7,1,7,1,7,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,2,3,2,1,39,1,7,1,4,2,2,1,2,US,1,healthcare,,,,,,,,
2,2,1,2,1,3,2,2,2,4,4,1,4,4,4,3,4,3,3,5,3,5,3,3,1,4,3,2,2,1,2,2,1,3,1,2,2,2,2,2,1,2,2,2,3,3,1,2,5,228,132,3,1,3,3,5,5,4,6,5,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,2,1,1,17,1,0,2,4,2,1,1,1,US,1,,,,,,,,,
2,1,1,2,3,3,2,2,4,2,2,3,4,1,2,1,3,4,3,3,3,2,4,3,5,3,5,3,4,4,4,5,5,3,5,4,4,4,4,4,4,2,3,4,3,3,5,4,26,11174,327,7,3,7,3,6,3,7,3,6,3,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,4,1,2,2,46,1,6,1,3,2,3,5,2,US,1,non,,,,,,,,
3,2,4,1,1,1,1,1,1,2,2,1,1,4,1,5,1,3,5,4,5,4,5,5,4,5,5,2,4,2,4,2,1,2,3,1,3,1,1,2,3,2,2,2,1,1,1,2,46,165,125,2,2,5,3,6,5,6,1,6,3,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,3,3,2,1,28,1,2,5,4,1,2,1,2,US,0,Psychology,,,,,,,,
3,1,2,2,1,1,1,1,4,3,4,3,4,3,4,5,2,3,5,4,5,3,4,4,5,4,3,1,4,4,4,1,2,2,3,2,3,4,2,4,3,2,2,2,2,1,3,2,12,205,156,6,5,6,6,7,6,5,3,3,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,2,2,2,1,18,1,1,2,1,2,1,2,1,US,0,Economics,,,,,,,,
2,1,1,1,1,2,2,1,2,3,2,4,2,2,3,2,2,3,3,4,2,4,2,2,4,4,5,3,5,4,4,5,3,4,4,4,5,4,5,3,5,4,5,5,4,4,5,5,2,128,114,6,5,7,3,5,5,6,3,6,2,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,3,3,2,1,45,1,6,1,3,1,2,3,1,US,0,PSYCHOLOGY,,,,,,,,
4,3,4,4,4,5,4,4,3,4,4,5,5,4,4,4,1,5,2,3,4,4,5,4,2,5,1,3,4,1,1,3,1,1,1,1,4,1,2,3,1,4,2,2,3,3,1,2,2,208,142,7,5,6,2,7,1,7,5,7,4,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,3,2,2,18,1,2,1,4,2,1,2,1,EE,0,,,,,,,,,
2,2,1,2,1,2,2,2,3,4,4,4,3,4,3,2,2,4,4,5,4,5,4,5,4,5,5,5,5,5,5,5,2,3,4,3,3,3,3,5,2,2,2,2,1,2,2,2,4,234,168,6,3,6,2,6,4,7,3,6,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,4,3,2,1,24,1,4,1,5,2,1,3,1,US,2,Psychology,,,,,,,,
3,1,1,1,4,1,3,1,4,4,3,4,4,1,1,1,3,1,1,1,1,3,1,1,5,3,5,1,5,5,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,183,197,6,6,5,7,5,6,7,1,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,3,2,1,26,3,4,1,5,2,1,0,1,US,0,Psychology,,,,,,,,
5,2,1,1,1,1,1,1,2,1,1,3,1,1,1,1,2,4,4,4,3,3,1,1,5,3,5,4,5,4,3,4,1,1,3,2,3,1,4,1,4,1,3,3,1,1,2,3,80,162,148,5,3,7,2,5,2,6,1,6,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,4,2,2,1,28,1,4,1,4,1,2,4,2,US,0,psychology,,,,,,,,
3,2,3,4,2,2,3,3,4,2,3,4,3,3,3,3,2,2,2,3,3,3,4,3,4,2,3,5,4,4,3,3,4,2,3,2,4,3,3,4,2,2,3,2,2,3,3,3,3,187,199,5,6,4,5,4,1,3,6,3,4,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,1,1,18,1,2,1,4,2,1,2,1,US,2,History,,,,,,,,
2,2,3,2,2,2,3,1,2,1,1,1,2,2,2,1,4,4,5,3,4,5,4,4,5,4,4,4,5,5,4,4,5,5,5,5,5,5,4,4,2,4,2,3,1,1,3,2,5,168,167,6,6,7,2,6,6,6,1,6,2,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,2,1,2,2,22,1,3,1,1,1,1,2,1,TH,2,english,,,,,,,,
